"","link","pdate","art"
"1","https://timesofindia.indiatimes.com/city/mumbai/no-of-pregnant-women-testing-hiv-dips-still-over-600-this-year/articleshow/66890273.cms",2018-12-01,"Despite significant progress in containing the spread of HIV among the general population, over 600 pregnant women have tested positive for the virus in the state this year. In the last five years, over 6,300 women were detected with the virus during pregnancy, underlining the urgent need to reach out to people who may be living with the virus but are unaware of their status. This World AIDS Day, as there is a global clamour for expansion of HIV-testing and treatment under the theme of ‘Know your status’, activists demanded that government agencies must push facilities deeper into the community. Dr Ashok Anand, who heads the gynaecology department at JJ Hospital, that carries out a massive volume of HIV positive childbirths, said even today, hundreds of women find out their status only during their pregnancy. “Most women get the infection from husbands. In fact, many husbands know about their HIV status only when their wives are pregnant,” said Dr Anand. Data from Mumbai District Aids Control Society (MDACS) shows that 92% of infections are due to unsafe sex, a significant percentage of which is among heterosexual couples. The remaining are caused by transfusion with infected blood, use of infected needles or from mother to child. Dr Anand said prevention was better as always, as an infected mother also stands the risk of passing on the virus to the child. While with multiple-drug regimen the incidence of mother-to-child transmission has reduced a great deal, some babies continue to get the infection from mothers. Since 2014-15, nearly 300 babies have got HIV infection from mothers in the state. Activist Ganesh Acharya said it was time to remodel targeted interventions and penetrate communities deeper. “We need more behaviour change communication to encourage more to get tested,” he said, adding that people still getting HIV in large numbers suggest that programmes may be failing. Maharashtra State Aids Control Organisation (MDACS) officials said a decade ago more than 4,000 pregnant women tested positive every year. “The number of women testing positive declined by 85% over 10 years, even as women being screened more than doubled,” said a senior official. He said from nearly 8 lakh in 2008, over 21 lakh pregnant women were now being screened annually in Maharashtra. MDACS assistant project director Dr Shrikala Acharya said to facilitate testing BMC has tied up with 113 outlets of Metropolis where HIV test will be carried out for Rs75 for a week from December 1."
"2","https://timesofindia.indiatimes.com/city/mumbai/free-hiv-tests-at-six-rly-stns-for-a-week-from-dec-1/articleshow/66778185.cms",2018-11-23,"In a bid to change the negative attitude towards HIV testing, Mumbai District AIDS Control Society (MDACS) will offer free tests at six railway stations with maximum footfalls on December 1, World AIDS Day. The test will be available for a week at Rs75 almost a fifth of the usual cost at 700 laboratories of the private Metropolis laboratory from December. “We are focusing on normalising HIV testing,’’ said Dr Shrikala Acharya of MDACS ahead of World AIDS Day, whose theme is ‘Know your status’. If tests are easily available at public places for free or at affordable rates, testing may be seen as a socially accepted concept. “At present, if people are asked to undergo a test by their doctor or health worker, they will come up with an excuse or say this test is not for them as they are safe,’’ she said. There are 38,000 people with the virus who have registered with MDACS in Mumbai city, but there is no corresponding estimate for the private sector so far. MDACS will put up kiosks at CSTM, Dadar, Kurla, Andheri, Ghatkopar and Borivli stations to make the test easily accessible. Experts admit that the stigma attached to HIV and AIDS is still high, preventing people from testing themselves, leading to a delay in the start of treatment. “We want to make testing a social movement. It should be a normal question to ask each other if one has undergone the HIV test,’’ she added. MDACS will carry out social media campaigns with Marathi film and TV actors to promote HIV testing. “The idea is to create a social movement of sorts so that people forget the stigma attached to HIV testing,” she said."
"3","https://timesofindia.indiatimes.com/india/health-ministry-announced-implementation-of-hiv-aids-act-2017-all-you-need-to-know/articleshow/65764317.cms",2018-09-11,"NEW The HIV AIDS (prevention and control) Act 2017 was implementated September 10 onwards, announced the Ministry of Health and Family Welfare on Tuesday. Rajya Sabha passed the bill in March that criminalises discrimination against patients suffering Acquired Immune Deficiency Syndrome (AIDS), a condition caused by Human Immunodeficiency Virus (HIV) , which attacks and weakens the body’s immune system. Here is all you need to know about the act: * The bill is a milestone because it empowers a person living with HIV to report discrimination meted out against them in fields of employment, health care services, educational services, public facilities, property rights, holding public office, and insurance. * The Act penalises ""propagation of hatred"" against the protected person where a violator could be punished with a minimum jail term of three months to a maximum of two years and can be fined up to one lakh rupees. * The Act makes Anti-Retroviral Treatment (ART) a legal right for all HIV/AIDS patients. It has also adopted ""test and treat"" policy which means any person testing positive will be entitled for free treatment by the state and central government. Earlier, this was restricted by a CD4 count rate. * It also provides for confidentiality of HIV-related information and makes it necessary to get informed consent for undertaking HIV tests, medical treatment and research. * The law makes it mandatory for state governments to appoint an Ombudsman to inquire into complaints related to the violation of the Act and the provision of health care services. * If a person or an institution fails to comply with any order given by the Ombudsman within the stipulated period of time, they could be fined a maximum of Rs 10,000. A continuous failure could lead to an additional fine of up to Rs 5000 every day until the they comply. * The new legislation has provisions to safeguard the property rights of HIV positive people. Every HIV infected person below the age of 18 years has the right to reside in a shared household and enjoy the facilities of the household. * The Bill was initially introduced in Parliament by the UPA government, the amendments to the HIV and AIDS (Prevention and Control) Bill, 2014 were revived by the Narendra Modi government in July last year. * The total number of people living with HIV in India is estimated at 21.17 lakhs, whereas around 86000 new HIV infections were reported in 2015, showing 66% decline in new infections from 2000. In 2015 around 68000 people died of AIDS-related causes nationally. Read this story in Bengali"
"4","https://timesofindia.indiatimes.com/city/madurai/hiv-ve-tn-teen-who-attempted-suicide-dies/articleshow/67316060.cms",2018-12-31,"The teen whose HIV infected blood had been transfused to an anaemic pregnant woman died at the Government Rajaji Hospital here on Sunday. The 19-year-old boy was hospitalised on Wednesday after he consumed poison. The boy, hailing from a village near Kamuthi in Ramanathapuram had donated blood to the Sivakasi blood bank on November 30 without knowing his HIV status. The blood was used for the 23-year-old pregnant woman in the Sattur hospital on December 3 and she got infected. Madras high court asks TN govt to file report on transfusion of HIV positive blood to pregnant womanAfter he was told about his HIV status, he became depressed and consumed rat poison on Wednesday morning. He was taken to the Ramanathapuram district headquarters hospital, after he was referred from a local hospital. He was later shifted to the GRH. Doctors said he was treated in the intensive care unit, where the best possible treatment was given. Meanwhile, family members of the deceased expressed suspicion over the death. They contended that he was talking normally till the night before and died suddenly after vomiting blood. They submitted a petition to the hospital authorities demanding that the post-mortem be video-taped. They wanted doctors from other hospitals to join the forensic team at the Madurai Medical College. “We suspect foul play in the death and a thorough investigation should be conducted. We have submitted a petition with the hospital authorities. Unless the demands are met, we will not receive the body after postmortem,” a relative of his told newsmen at the GRH. Dr S Shanmugasundaram, dean (in-charge) of Madurai Medical College and GRH, told TOI that vomiting blood is a usual complication that arises after rat poison is consumed. A team of doctors was monitoring him. As soon as he vomited blood early on Sunday morning, one unit of blood and three units of frozen plasma was transfused to him. But he died at 8.10 am, not responding to the treatment, he said. The dean said the postmortem, which was planned to be conducted on Sunday, did not take place as they did not receive a requisition from the police station. The pregnant woman is undergoing anti-retroviral therapy at the GRH."
"5","https://timesofindia.indiatimes.com/india/when-meds-dont-heal-hiv-kids-fight-daily-war-with-side-effects/articleshow/65663512.cms",2018-09-03,"Sumana has the appearance of a 10-year-old though she’s a teenager 11 months shy of 18. Four feet tall and with body weight of 30 kilos, she is at least 25kg underweight and significantly short for her age. Her mental ability is of a kid half her age. She is also hearing impaired. At Solapur’s Palawi-Prabha Hira Pratishthan, one of Maharashtra’s oldest institutions caring for children living with HIV, cases like Sumana’s are not an exception. At least 60% of the 110 children here suffer from varying degrees of hearing loss. The prevalence of height and weight stunting is more than 70%, while over a third have stymied mental development. Besides physical, the prevalence of mental health problems such as depression is alarmingly high. AIDS-related deaths may have dropped 54% and new infections 66% in India over a decade, but children like Sumana are testimony to the gaping deficit in the national programme that focuses on drugs instead of a comprehensive medical, nutritional and psychosocial model that a complex disease like HIV warrants. An otherwise spirited child, Sumant becomes drowsy and irritable after taking medicines. “I get severe stomach-ache, dizziness, headache and diarrhoea,” he says, describing his plight after taking the daily dose of antiretroviral therapy (ART) medicines. The six-year-old is among the 17 children at the Palawi home who have forsaken ART even though their survival depends on it. Born with the virus, these children need to take 2-6 capsules daily. For additional infections such as tuberculosis, the pill count could run into double digits. “Children go through hell in spite of ART. There is no denying the dramatic shift in HIV care today, but what about those who got the disease at the turn of the century and have spent a lifetime taking medicines? We know little or nothing about what the virus or ART does to each child,” said Palawi’s 65-year-old founder Mangaltai Shah. She says most children in Palawi grapple with everyday health problems ranging from skin rashes, oral and vaginal yeast infections, pus accumulation in ears, hearing and vision problems to life-threatening infections like TB. “So when medicines meant to heal start giving trouble, they find it easier to discard.” Moreover, she adds, institutions like Palawi neither have adequate funds nor support from government hospitals to tackle the unique problems of each child. Sumant is supposed to receive intensive counselling from the local ART centre till his adherence improves, but Shah says the three doctors and four counsellors that cater to 300 HIV patients daily at Solapur Civil Hospital barely have the time. For nearly 3 lakh registered HIV patients in the state, there are less than 1,000 counsellors. Palawi was compelled to start its own school in 2014 as children are denied admission in regular ones the moment Palawi is mentioned. But it’s a blessing in disguise for these children who struggle to sit through more than one or two classes without dozing off. Palawi, which has been home to 250 HIV-positive children since 2001, has lost 40 to the disease."
"6","https://timesofindia.indiatimes.com/city/coimbatore/another-woman-claims-she-got-hiv-infected-blood/articleshow/67319072.cms",2018-12-31,"A 26-year-old woman on Sunday claimed that she became HIV positive after blood transfusion at a primary health centre at Mecheri in Salem district during her first delivery in 2014. However, the district health department refuted the claim saying that it has evidences to prove her wrong. Speaking to reporters in Mettur on Sunday, the woman said she was taking treatment during her first pregnancy at the Mecheri primary health centre in 2014. The doctors of the health centre had checked her health condition and collected blood from the Mettur Government Hospital’s blood bank and administered it to her during her delivery. She became pregnant for the second time in 2015 and went for treatment at the same health centre. When her blood samples were tested, the result confirmed that she was infected was HIV positive. Now, she has been taking treatment for HIV at the Omalur Government Hospital."
"7","https://timesofindia.indiatimes.com/city/chennai/another-woman-says-she-got-hiv-from-donor-blood/articleshow/67293723.cms",2018-12-29,"Two days after reports about HIV-infected blood being transfused into a pregnant woman, a Chennai-based woman said she too has acquired the viral infection after undergoing treatment at the government-run Kilpauk Medical College and Hospital (KMCH). The woman, who gave birth to a boy on September 15, told reporters that she tested positive after she was administered two units of blood at the hospital in April. Hospital dean Dr Vasanthamani P rejected the claim. As per medical records, the woman visited a primary health centre in Mangadu on March 6 when doctors confirmed her pregnancy. In April, doctors referred her to KMCH for blood transfusion after they found her haemoglobin level was low. The report of a blood test she did at a private hospital on February 12 shows HIV negative. At KMCH she was given two units of blood on April 5 and April 6, and she got discharged 10 days later. She was referred back to the hospital in August after scans showed the fetus was in “breech position” (legs down). That’s when the hospital ordered the HIV test. “Usually we assign a number along with every HIV test done. Her records did not have the number. So we repeated the test and she tested positive. We started her on medication and help her deliver a healthy baby in September,” said hospital dean Dr Vasanthamani P. The woman said she was forced to remain silent as she feared that she would be ostracized by her family and friends. But she petitioned health minister C Vijaya Baskar, health secretary J Radhakrishnan and other senior administrators. “I did not receive any call from the government. When I read about how another pregnant woman acquired the infection, I decided to talk about my condition,” she said. “My husband has no infection. This hospital is the only possible source of infection,” she said. Director of medical education Dr A Edwin Joe said the government ordered for an inquiry in December. “Today, the inquires revealed said the blood provided by the hospital was tested safe,” he said. The two units of blood (1962 and 2129) administered to the woman were labelled safe after they were screened on high-end equipment. While one of the blood samples were sourced from a college student, the other was a regular voluntary blood donor. “We have a machine printed copy that says the samples were safe,” said Dr Vasanthamani. “It is difficult for us to point out the infection source now,” she said. Health activists and NGOs say the state health department should do a more detailed inquiry to clear its name. “It is important for the hospitals to recall the donors for a HIV test. If they test negative, it is evident that the disease was not transfused through blood. What if the test was false negative because they were in their window period,” said Karunanidhi, who works for a positive network NGO. Tamil Nadu State AIDS Control Society project director K Senthil Raj said the state has not dropped its guard on blood screening. “We have a robost screening programme. At least 60% of deliveries happen in GH. There is no need for women to panic,” he said."
"8","https://timesofindia.indiatimes.com/city/madurai/hiv-case-5-member-panel-begins-inquiry-in-virudhunagar/articleshow/67294063.cms",2018-12-29,"The five-member committee led by additional joint director of health services, Dr Malathi, constituted by the Tamil Nadu government arrived in Madurai to inquire into the incident, where HIV-infected blood was transfused to a pregnant woman at the Sattur government hospital on Friday. They arrived at the Sivakasi government hospital and conducted inquiries and summoned the health workers including lab technicians and nurses, who had treated the pregnant woman. Three contract workers Valarmathy, Ganeshbabu and Ramesh, who were dismissed from the services, were also interrogated by the team. Functioning of the blood banks was also reviewed by the team. With the investigations expected to continue, the team will submit its report in about two weeks, after which the people, who were responsible for the incident, would be booked and specific action would be taken against them. Meanwhile, the dean in-charge of the Government Rajaji Hospital, Dr S Shanmugasundaram said that infected woman and her donor, who had attempted suicide, are both responding to their treatments. The pregnant woman had mild jaundice in addition to the HIV infection and efforts were on to reduce it. Priority was to ensure that the child when it is born in the end of January next year is not infected by the virus, he said."
"9","https://timesofindia.indiatimes.com/city/madurai/pregnant-woman-turns-hiv-positive-after-blood-transfusion/articleshow/67244584.cms",2018-12-26,"Three health workers of a blood bank at the government hospital in Sivakasi have been placed under suspension for not screening a blood sample which was HIV positive leading to its transfusion to a pregnant woman at the Sattur government hospital. Dr R Manoharan, joint director of health services, Virudhunagar, said that on November 30, a relative of a patient at the Sivakasi government hospital had donated blood for the patient’s requirement. The technicians at the laboratory screened the blood that was donated and labelled it safe. However, since the patient’s requirement was met from the blood bank, the donated blood was stored. Blatant error from lab employeesOn December 3, this was transfused to an anaemic, pregnant woman .The donor had to go for a blood test at a private laboratory in Virudhunagar as his job appointment abroad required it. The lab report showed him HIV positive and having jaundice. Doubtful of the report, the man approached the Sivakasi government hospital, where a new test confirmed his HIV positive status. Manoharan was informed and there was an immediate search for the donated blood, which they found had been transfused to the pregnant woman. The woman was summoned to the hospital and tests which showed that she had been infected with HIV. It has now come to light that the Sattur government hospital had first found the donor HIV positive in 2016 during a blood donation camp. Instead of conveying it to him directly, he was told he had a rare blood group and was asked to come to the hospital. ""It should no have happened. We have initiated technical inquiries to find out how it happened. This will not be repeated again. We want to ensure this doesn't happen again,"" said Dr K Senthil Raj, project director, Tamil NaduAids Control Society. Meanwhile, the HIV positive donor and the pregnant woman, who is expected to give birth in a month, have been given counselling and put on antiretroviral (ARV), a drug that prevents a retro virus from replicating. In Video:Shocking: Woman tested HIV+ after blood transfusion"
"10","https://timesofindia.indiatimes.com/city/madurai/pregnant-woman-contracts-hiv-after-transfusion-in-tn/articleshow/67258162.cms",2018-12-26,"A 24-year-old pregnant woman contracted HIV allegedly after being transfused contaminated blood supplied by a blood bank which failed to conduct proper screening for the virus, prompting the Tamil Nadu government to order examination of stocks in all blood banks of the state. The services of three lab technicians of the blood bank attached to a government hospital in Sattur, have been terminated, health minister C Vijayabaskar said Wednesday. Terming the incident as ""disheartening and shocking"", he said such a thing has never happened in the state so far. The minister said a thorough probe into the incident was underway and promised stringent action against those found guilty. The woman and her husband lodged a police complaint on Wednesday seeking action against the doctors, nurses and employees of the blood bank. The state government said it was making all efforts to prevent the impact of the virus on the woman, and stocks in all blood banks would be reviewed to ensure that such incidents did not recur. Joint director of health services, Virudhunagar, R Manoharan told PTI the woman was admitted to a private hospital in Sattur for the birth of her second child and the doctors advised her to have a blood transfusion citing haemoglobin deficiency. Blood brought from the blood bank was transfused to her. It later emerged that the donor was HIV positive, the official said, adding the recipient's blood was also tested, which confirmed that she too had got infected by the virus. Preliminary inquiry revealed that the blood bank staff had failed to screen the blood properly before supplying it to the private hospital. The personnel who tested the donor's blood had labelled it 'safe,' officials said. A detailed medical treatment is also underway for the woman to ensure the virus does not affect her foetus, the minister said, adding, the government is also giving all livelihood assistance to the family. Lakhs of persons were provided with blood component annually including in the form of blood and ""there have been no complaints (of such nature) so far and this is the first time which is shocking,"" he told reporters in Chennai. Talking to reporters, the woman's husband held the Tamil Nadu government responsible for the incident and demanded that it provide the best treatment to her. He said he does not want any job from the government but only the best treatment for his wife. Health secretary J Radhakrishnan visited the district and spoke to the woman. Fisheries minister D Jayakumar said the district collector had expressed 'regret' to the family through the revenue divisional officer."
