item1,item2,correlation
nadu,tamil,0.9561828874675147
tamil,nadu,0.9561828874675147
virudhunagar,sattur,0.8375742428256125
sattur,virudhunagar,0.8375742428256125
addiction,de,0.7741840705101117
de,addiction,0.7741840705101117
377,gay,0.7722026078674663
gay,377,0.7722026078674663
377,section,0.7073332365266001
section,377,0.7073332365266001
madurai,sattur,0.676567768404574
sattur,madurai,0.676567768404574
sattur,transfused,0.669632553440269
transfused,sattur,0.669632553440269
therapy,art,0.6600529600603348
art,therapy,0.6600529600603348
supreme,377,0.6518543544025469
377,supreme,0.6518543544025469
addiction,addicts,0.6214134545270014
addicts,addiction,0.6214134545270014
donor,sattur,0.6201298701298702
sattur,donor,0.6201298701298702
377,rights,0.6178264087877516
rights,377,0.6178264087877516
antiretroviral,art,0.6150009574700845
art,antiretroviral,0.6150009574700845
bench,justice,0.6124794376948108
justice,bench,0.6124794376948108
sattur,pregnant,0.611826405773843
pregnant,sattur,0.611826405773843
sattur,donated,0.60338152446794735
donated,sattur,0.60338152446794735
blood,transfusion,0.6020797289396148
transfusion,blood,0.6020797289396148
de,addicts,0.5959933591831246
addicts,de,0.5959933591831246
bank,donated,0.5728288442258506
donated,bank,0.5728288442258506
virudhunagar,donor,0.5703119162512581
donor,virudhunagar,0.5703119162512581
tb,tuberculosis,0.5680276228617335
tuberculosis,tb,0.5680276228617335
water,villagers,0.5582127123977344
villagers,water,0.5582127123977344
society,control,0.5540528470401516
control,society,0.5540528470401516
tamil,sattur,0.5415001409024771
sattur,tamil,0.5415001409024771
supreme,court,0.5406835578019913
bench,court,0.5406835578019913
court,supreme,0.5406835578019913
court,bench,0.5406835578019913
gay,section,0.5370851819645045
section,gay,0.5370851819645045
donor,donated,0.5357611812086085
donated,donor,0.5357611812086085
sexual,sex,0.5305652032878754
sex,sexual,0.5305652032878754
virudhunagar,transfusion,0.5303826953921372
transfusion,virudhunagar,0.5303826953921372
antiretroviral,therapy,0.5296355288847995
therapy,antiretroviral,0.5296355288847995
blood,infected,0.5293103448275862
infected,blood,0.5293103448275862
section,rights,0.5265865455643984
rights,section,0.5265865455643984
virudhunagar,madurai,0.525622447702681
madurai,virudhunagar,0.525622447702681
supreme,gay,0.525622447702681
gay,supreme,0.525622447702681
supreme,section,0.5250583400153366
section,supreme,0.5250583400153366
3,sattur,0.5187360543248313
sattur,3,0.5187360543248313
tamil,transfused,0.5181632471383236
transfused,tamil,0.5181632471383236
gay,rights,0.5145529756640853
rights,gay,0.5145529756640853
villagers,village,0.5141688676901618
village,villagers,0.5141688676901618
377,transgender,0.5137824597364249
transgender,377,0.5137824597364249
donated,transfused,0.5137382024331746
transfused,donated,0.5137382024331746
donation,donors,0.5131860782016118
donors,donation,0.5131860782016118
virudhunagar,pregnant,0.5124500385567424
pregnant,virudhunagar,0.5124500385567424
donated,transfusion,0.5103103630798288
transfusion,donated,0.5103103630798288
madurai,pregnant,0.5089051966772273
pregnant,madurai,0.5089051966772273
nadu,sattur,0.508635994734099
sattur,nadu,0.508635994734099
lake,refused,0.5035757308949782
refused,lake,0.5035757308949782
sattur,woman,0.503181368257711
woman,sattur,0.503181368257711
banks,donors,0.4983548308825998
donors,banks,0.4983548308825998
supreme,rights,0.49404941193019497
virudhunagar,donated,0.49404941193019497
